

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
313.251  000.328  000.328: sourcing /Users/cicloid/.vim/plugged/vim-airline/autoload/airline/extensions/whitespace.vim
313.895  000.146  000.146: sourcing /Users/cicloid/.vim/plugged/vim-airline/autoload/airline/extensions/wordcount.vim
314.263  000.140  000.140: sourcing /Users/cicloid/.vim/plugged/vim-airline/autoload/airline/extensions/nrrwrgn.vim
314.650  000.151  000.151: sourcing /Users/cicloid/.vim/plugged/vim-airline/autoload/airline/extensions/keymap.vim
322.408  000.119  000.119: sourcing /Users/cicloid/.vim/plugged/vim-anzu/autoload/airline/extensions/anzu.vim
322.838  000.163  000.163: sourcing /Users/cicloid/.vim/plugged/vim-airline/autoload/airline/section.vim
323.405  000.335  000.335: sourcing /Users/cicloid/.vim/plugged/vim-airline/autoload/airline/highlighter.vim
328.253  000.284  000.284: sourcing /Users/cicloid/.vim/plugged/vim-airline/autoload/airline/themes.vim
328.648  001.400  001.116: sourcing /Users/cicloid/.vim/plugged/vim-airline-themes/autoload/airline/themes/solarized.vim
339.615  000.223  000.223: sourcing /Users/cicloid/.vim/plugged/vim-airline/autoload/airline/util.vim
341.587  000.240  000.240: sourcing /Users/cicloid/.vim/plugged/vim-airline/autoload/airline/builder.vim
342.262  000.173  000.173: sourcing /Users/cicloid/.vim/plugged/vim-airline/autoload/airline/extensions/default.vim
390.091  000.169  000.169: sourcing /Users/cicloid/.vim/plugged/ale/autoload/ale/events.vim
394.977  004.002  004.002: sourcing /Users/cicloid/.vim/plugged/ale/autoload/ale/util.vim
412.136  003.738  003.738: sourcing /Users/cicloid/.vim/plugged/ale/autoload/ale/linter.vim
429.174  002.557  002.557: sourcing /Users/cicloid/.vim/plugged/ale/ale_linters/text/proselint.vim
432.648  003.028  003.028: sourcing /Users/cicloid/.vim/plugged/ale/ale_linters/text/redpen.vim
435.080  001.952  001.952: sourcing /Users/cicloid/.vim/plugged/ale/ale_linters/text/vale.vim
437.360  001.920  001.920: sourcing /Users/cicloid/.vim/plugged/ale/ale_linters/text/write-good.vim
470.716  000.315  000.315: sourcing /Users/cicloid/.vim/plugged/ale/autoload/ale/pattern_options.vim
474.380  000.720  000.720: sourcing /Users/cicloid/.vim/plugged/ctrlp.vim/autoload/ctrlp/utils.vim
485.024  174.629: opening buffers
486.963  000.685  000.685: sourcing /Users/cicloid/.vim/plugged/vim-gitgutter/autoload/gitgutter.vim
488.268  000.745  000.745: sourcing /Users/cicloid/.vim/plugged/vim-gitgutter/autoload/gitgutter/utility.vim
511.498  022.353  022.353: sourcing /Users/cicloid/.vim/plugged/vim-gitgutter/autoload/gitgutter/diff.vim
513.677  001.009  001.009: sourcing /Users/cicloid/.vim/plugged/vim-gitgutter/autoload/gitgutter/async.vim
516.875  007.059: BufEnter autocommands
516.916  000.041: editing files in windows
521.828  003.216  003.216: sourcing /Users/cicloid/.vim/plugged/vim-session/autoload/xolox/session.vim
522.709  000.348  000.348: sourcing /Users/cicloid/.vim/plugged/vim-misc/autoload/xolox/misc/option.vim
